"","ATS.VI","TKA.VI","POST.VI","DOC.VI","AMAG.VI","UQA.VI","LNZ.VI","VER.VI","SEM.VI","WXF.VI","OMV.VI","SBO.VI","RBI.VI","AGR.VI","FLU.VI","WOL.VI","PYT.VI","CAI.VI","EBS.VI","VIG.VI","IIA.VI","STR.VI","ROS.VI","ZAG.VI"
"1",9.05,5.389,40.279999,63.150002,27.5,7.827,54.049999,15.31,41,0.73,22.190001,60,12.66,17.655087,19.3375,19.49086,6.25,15.765,19.93,38.02,21.629999,18.375,69.959999,19.200001
"2",9,5.338,40.5,64.050003,27.4,7.565,53,14.7,40,0.71,20.799999,58.860001,11.69,17.903749,19.275,19.49086,6.3,15.795,19.25,37.115002,21.08,18.139999,70.300003,19
"3",9.024,5.305,41.095001,63.200001,27.34,7.502,53.52,15.49,40,0.747,21.415001,60.360001,11.49,18.149925,19.5,19.348244,6.2,16,19.25,36.494999,21.18,18.245001,68.199997,18.715
"4",9.181,5.459,41.055,64.300003,27.4,7.537,54.720001,15.755,39.869999,0.813,21.875,60.41,11.505,18.149925,19.450001,19.771338,6.27,16.290001,19.66,37.395,21.700001,18.4,69.160004,18.915001
"5",9.25,5.506,40.93,64.989998,27.5,7.5,54.619999,15.5,39.330002,0.805,21.629999,61.07,11.19,17.903749,19.355,19.852154,6.27,16.215,19.200001,37.060001,21.57,18.42,69,18.530001
"6",9.407,5.494,40.799999,66.199997,27.620001,7.348,54.509998,15.435,39.435001,0.839,21.415001,59,10.84,18.132519,19.27,19.486107,6.39,16.27,19.5,36.685001,21.51,18.235001,68.389999,18.75
"7",9.602,5.54,40.689999,67.449997,28,7.42,53.700001,15.45,39,0.848,21.549999,58.419998,10.72,17.824177,19.125,19.714293,6.49,16.525,19.875,37.34,21.26,18.200001,68,18.865
"8",9.678,5.69,42.189999,68.099998,28,7.364,53.84,15.435,39.279999,0.829,20.700001,53.5,10.47,17.655087,19.2225,19.966248,6.44,16.315001,19.85,36.465,20.620001,18.040001,68.489998,18.75
"9",9.8,5.805,41.994999,68.160004,27.950001,7.35,55.279999,15.395,38.970001,0.83,21.700001,55.73,10.5,17.582973,19.5625,20.156403,6.55,16.91,19.375,37.025002,20.940001,18,68.900002,18.695
"10",9.8,5.75,42.16,66.599998,27.795,7.22,55.330002,15.525,38.799999,0.824,22.33,55.84,10,17.37907,19.4375,20.061323,6.655,17.4,19.365,37.599998,20.370001,17.584999,69.400002,18.700001
"11",9.886,5.695,42.650002,65.019997,27.795,7.247,54.919998,15.46,38.869999,0.805,22.18,54.27,10.11,17.37907,19.415001,20.156403,6.8,17.385,19.245001,37.639999,20.700001,17.605,69.300003,18.805
"12",9.9,5.77,42.575001,65.75,27.5,7.463,55,15.72,38.299999,0.79,22.190001,54.5,10.265,17.530754,19.504999,20.251478,6.838,17.370001,19.545,37.68,20.93,17.700001,68.900002,19
"13",9.97,5.797,42.700001,65.629997,27.219999,7.614,56,15.755,38.099998,0.79,22.690001,53.25,10.59,17.829149,19.555,20.251478,6.68,17.485001,19.975,37.560001,21,17.450001,68.879997,19.139999
"14",10.225,5.834,43.220001,67.82,27.700001,7.626,58.040001,15.89,39.259998,0.81,22.809999,53.75,11.3,17.528269,19.82,20.246725,6.795,17.639999,20.344999,38.645,21.1,18.129999,68.120003,19.299999
"15",10.68,5.938,43.32,69.400002,27.5,7.638,58.77,15.865,38.599998,0.81,22.799999,55.959999,10.205,17.59292,19.475,20.251478,6.89,17.790001,19.98,39.115002,21.41,19.254999,69,19.450001
"16",10.905,5.92,43.25,68.889999,27.594999,7.536,59,16.075001,39.375,0.814,22.959999,55.830002,9.927,17.779417,19.01,20.199186,7.139,17.805,20.605,39.665001,21.35,19.9,69.550003,20.440001
"17",11.045,5.93,43.099998,67.5,27.795,7.2,59.889999,16.049999,39.400002,0.81,22.764999,55.25,9.3,17.898775,18.924999,20.251478,7.03,17.594999,20.35,38.790001,21.129999,19.645,68.900002,20
"18",11.2,5.926,43.150002,67,27.795,7.039,59.830002,16.275,39.195,0.786,22.530001,55,9.005,17.779417,18.952499,20.24197,7,17.674999,18.969999,38.220001,21.16,19.605,69,20.200001
"19",11.17,5.924,43.395,67,27.719999,7.468,58.599998,15.83,38.900002,0.8,22.02,51.450001,10.05,17.779417,18.9925,20.24197,6.9,17.92,19.045,37.610001,20.6,19.545,68.790001,20.549999
"20",11.48,5.8,43.900002,66.5,27.719999,7.5,57.360001,15.5,39.200001,0.8,22.075001,52.290001,10.4,17.411396,19.1975,20.24197,6.797,17.955,19.225,37.615002,20.24,19.635,67.389999,20.370001
"21",11.52,5.744,43.200001,67.220001,27.844999,7.51,56.790001,15.325,39.450001,0.815,22.950001,54.5,10.36,17.781904,18.98,20.299019,6.889,18.07,19.379999,38.049999,21.200001,20.1,69.489998,20.6
"22",11.94,5.812,43.474998,67.349998,27.9,7.615,58.720001,15.73,39.695,0.814,23.535,55.169998,11.005,18.028082,18.9625,19.966248,6.95,18.02,20.309999,39.064999,21.74,20.24,69,20.799999
"23",12.45,5.8,43.200001,65.18,27.940001,7.543,56.200001,15.8,40.389999,0.803,23.299999,56.650002,10.61,18.895914,18.940001,20.061323,6.96,18.045,20.325001,38.790001,21.629999,20.299999,69,21.07
"24",12.5,5.718,42.799999,64.849998,27.99,7.468,55.919998,15.605,40.849998,0.803,23.555,56.77,10.26,18.786503,18.98,19.776093,7.089,18.190001,20.17,37.950001,21.860001,20.055,69.010002,21.385
"25",12.22,5.795,43.294998,64.370003,28.15,7.55,57.049999,15.85,40.990002,0.771,23.375,56.5,11,18.622387,18.8475,20.061323,7.08,18.145,20.49,37.974998,22.02,20,71,21.6
"26",12.27,5.749,43.154999,65.220001,28.67,7.5,55.959999,15.63,40.009998,0.792,23.5,57.18,11.39,18.649738,18.805,19.528891,7.16,18.280001,21.059999,37.810001,21.76,19.975,71,21.525
"27",12.5,5.775,43.915001,65.25,28.9,7.523,55.84,15.655,41.450001,0.777,23.52,57.119999,12.2,18.622387,19.047501,19.348244,7.082,18.485001,21.955,38.110001,22,20.200001,70.699997,21.620001
