 SYMBOL,Name
ATS.VI,AT&S AUST TECH/d
TKA.VI,TELEKOM AUST/d  
POST.VI,OESTERR POST/d  
DOC.VI,DO & CO/d       
AMAG.VI,AMAG METALL/d   
UQA.VI,UNIQA INSU GR /d
LNZ.VI,LENZING/d       
VER.VI,VERBUND/d       
SEM.VI,SEMPERIT HDG/d  
WXF.VI,WARIMPEX AG/d   
OMV.VI,OMV AG/d        
SBO.VI,SCHOELLER-BLEC/d
RBI.VI,RAIFF BANK INT/d
AGR.VI,AGRANA/d        
FLU.VI,FLUGHAFEN WIEN/d
WOL.VI,WOLFORD/d       
PYT.VI,POLYTEC/d       
CAI.VI,CA IMMOBILIEN/d 
EBS.VI,Erste Bank der oesterreichischen Sparkassen AG
VIG.VI,VIENNA INSURAN/d
IIA.VI,IMMOFINANZ/d    
STR.VI,STRABAG SE/d    
ROS.VI,ROSENBAUER/d    
ZAG.VI,ZUMTOBEL/d      
