gender,educ,salary,salbegin,jobtime,prevexpe,jobcat,polytech
1,12,20400,11250,6,0,1,0
1,12,23850,12750,12,3,1,0
1,12,22800,11250,12,0,1,0
1,12,20700,11250,12,0,1,0
1,12,21300,11250,12,1,1,0
1,12,24300,15000,12,21,2,0
1,12,19650,13950,12,23,2,0
0,17,60000,32490,12,3,2,0
0,15,30300,15750,12,10,2,1
0,19,61250,33000,12,2,2,0
0,19,36000,19500,12,4,2,0
1,12,16200,10200,12,31,2,0
1,12,22800,11250,12,0,1,0
1,16,43500,19500,12,2,2,0
0,8,30300,15750,12,27,2,0
0,15,31950,15750,12,12,2,1
0,15,35250,13500,12,1,2,1
0,15,37800,15000,12,6,2,1
0,15,31200,15750,12,8,2,1
0,15,29400,16500,12,12,2,1
0,19,70000,35040,12,13,2,0
0,15,33900,15750,12,17,2,1
0,15,27150,16500,12,14,2,1
1,12,22200,13800,12,34,2,0
1,15,31350,11100,12,8,2,1
1,12,20850,13500,12,31,2,0
0,16,33300,17490,12,21,2,0
0,8,26250,16050,12,17,2,0
0,15,31950,15750,12,10,2,1
0,19,66250,34980,12,17,2,0
0,18,86250,45000,11,9,2,0
0,12,30750,15000,11,10,2,0
0,12,33540,15750,11,8,2,0
0,16,34950,20250,11,10,2,0
0,15,40350,16500,11,14,2,1
0,12,30270,15750,11,14,2,0
0,15,32400,15000,11,11,2,1
1,12,20400,11250,11,0,1,0
1,8,24150,12750,11,17,2,0
1,15,23850,13500,11,21,2,1
1,12,29700,13500,11,5,2,0
1,8,21600,13500,11,40,2,0
1,12,24450,15750,11,15,2,0
0,15,28050,16500,11,15,2,1
0,16,100000,44100,11,22,3,0
0,15,49000,20550,11,15,2,1
1,12,16350,10200,11,28,2,0
0,16,70000,21750,11,3,2,0
0,19,55000,34980,11,22,3,0
0,15,28500,14250,11,3,1,1
0,12,28800,18000,11,37,2,0
0,19,90625,31250,11,3,2,0
0,16,43650,19500,11,3,2,0
0,19,75000,42510,11,9,2,0
0,15,31650,14250,11,2,2,1
0,19,61875,28740,11,5,2,0
1,12,21750,11250,11,0,1,0
1,12,24300,10950,16,1,1,0
1,12,24750,14250,16,34,2,0
1,12,22950,11250,16,0,1,0
1,8,25050,10950,16,1,1,0
0,15,25950,17100,16,7,2,1
0,15,31650,15750,16,11,2,1
0,12,24150,14100,16,23,2,0
0,19,72500,28740,16,2,2,0
0,19,68750,27480,16,1,2,0
1,8,16200,9750,16,0,1,0
1,12,20100,11250,16,4,1,0
1,8,24000,10950,16,1,1,0
1,12,25950,10950,16,0,1,0
1,12,24600,10050,16,8,2,0
1,12,28500,10500,16,1,1,0
0,17,40200,19500,16,29,3,0
0,8,30000,15000,16,25,2,0
1,12,22050,10950,16,1,1,0
0,15,57000,27000,17,25,3,1
0,16,40200,18750,17,6,2,0
1,8,21900,13200,17,33,2,0
0,15,45000,21000,17,24,3,1
0,15,32100,13500,17,12,2,1
0,15,36000,18750,17,20,2,1
1,12,21900,9750,17,0,1,0
1,15,27900,12750,17,20,2,1
1,16,30300,16500,17,25,2,0
0,8,28350,12000,17,5,1,0
0,15,27750,14250,17,6,2,1
1,15,35100,16800,17,24,2,1
0,12,27300,13500,17,11,2,0
0,12,40800,15000,17,4,2,0
0,15,46000,14250,17,8,2,1
0,16,103750,27510,17,12,2,0
0,12,42300,14250,17,18,3,0
0,18,78250,27480,16,8,2,0
0,16,60625,22500,16,8,2,0
0,14,39900,15750,16,10,2,1
0,19,97000,35010,16,12,2,0
0,15,27450,15750,16,8,2,1
0,15,31650,13500,16,3,2,1
0,19,91250,29490,16,4,2,0
1,12,25200,14400,16,14,2,0
1,12,21000,11550,16,19,2,0
0,12,30450,15000,16,9,2,0
0,15,28350,18000,16,26,2,1
0,16,54875,27480,16,12,2,0
0,14,37800,16500,16,10,2,1
0,15,33450,14100,16,15,2,1
0,15,30300,16500,16,3,2,1
1,12,31500,18750,16,36,2,0
1,12,31650,14250,16,8,2,0
1,12,25200,14100,16,10,2,0
1,16,37800,15750,16,1,2,0
1,15,18750,10500,16,9,2,1
1,15,32550,13500,16,4,2,1
1,12,33300,15000,16,1,2,0
1,16,38550,16500,16,0,2,0
0,12,27450,15000,16,30,2,0
0,15,24300,15000,16,33,2,1
0,12,30750,15000,16,36,2,0
1,12,19650,9750,16,40,2,0
0,17,68750,27510,15,7,2,0
0,20,59375,30000,15,1,2,0
0,15,31500,15750,15,4,2,1
0,12,27300,17250,15,30,2,0
0,15,27000,15750,15,15,2,1
1,12,26250,10950,15,0,1,0
1,8,20100,13200,15,16,2,0
1,12,22350,13500,15,5,1,0
1,15,35550,13350,15,6,2,1
1,12,28500,13950,15,6,1,0
1,12,24450,13200,15,19,2,0
0,12,26700,13500,15,7,1,0
0,18,43950,23250,15,32,3,0
1,15,26550,14250,15,11,2,1
0,12,27600,15000,15,13,2,0
0,12,25800,15000,15,25,2,0
0,16,42300,26250,15,22,3,0
1,12,26700,12900,15,3,1,0
1,12,20850,12000,15,28,2,0
0,15,35250,15000,15,9,2,1
0,15,26700,15000,15,10,2,1
1,12,26550,13050,15,2,1,0
1,12,27750,12000,15,2,1,0
1,16,25050,12750,15,21,2,0
0,16,66000,47490,15,26,3,0
0,16,52650,19500,15,3,2,0
0,16,45625,23250,15,10,2,0
0,15,30900,15000,15,4,2,1
1,15,29400,16500,15,4,2,1
1,15,33300,13500,15,4,2,1
1,12,21900,9750,15,27,2,0
1,12,18150,9750,15,13,2,0
1,16,46875,17250,15,3,2,0
0,12,25500,14400,15,6,1,0
0,12,26550,15000,15,7,1,0
1,15,29850,15000,15,14,2,1
0,20,69250,42480,15,23,3,0
0,8,26250,15600,15,30,2,0
1,16,35700,17250,15,3,2,0
1,12,28500,16500,15,12,2,0
1,12,17100,10200,15,13,2,0
0,12,25200,13050,15,5,1,0
1,12,24000,12750,15,10,2,0
1,12,27450,10200,15,18,2,0
1,12,18450,10200,15,40,2,0
0,15,39300,15750,15,13,2,1
0,15,38850,15000,15,9,2,1
0,15,37500,20400,15,6,2,1
0,16,58750,21750,15,2,2,0
1,12,34500,18750,15,36,2,0
1,8,29100,16500,15,6,2,0
0,12,19650,12750,15,31,2,0
1,12,24750,12000,15,7,1,0
1,15,27150,15750,15,40,2,1
1,12,26400,12750,15,6,1,0
1,16,23100,12000,15,37,2,0
0,15,54900,25500,14,9,2,1
0,19,70875,43500,14,27,3,0
0,16,51250,27480,14,12,2,0
0,17,67500,34980,14,2,2,0
0,12,29340,19500,14,26,2,0
0,15,39600,16500,14,8,2,1
0,12,29100,15000,14,9,2,0
0,15,33150,16500,14,12,2,1
0,15,27300,17250,14,16,2,1
1,12,24000,11250,14,3,1,0
1,8,19800,10200,14,13,2,0
0,15,30600,16500,14,38,2,1
0,15,28950,15000,14,19,2,1
0,15,38400,16500,14,11,2,1
1,12,20400,10950,14,2,1,0
1,12,19200,11100,14,1,1,0
0,15,30150,15750,14,13,2,1
0,16,34620,27750,14,26,2,0
